Авилов 	 Avilov
Сирин (псевд. В. В. Набокова) 	 Sirin (psevd. V. V. Nabokova)
Скирмунт С. А. 	 Skirmunt S. A.
Скобцова Е. Ю. (мать Мария) 	 Skobtsova E. Ju. (mat' Marija)
Скоропадский П. П., ген. 	 Skoropadskij P. P., gen.
Соколов С. А. (псевд. Кречетов, см.) 	 Sokolov S. A. (psevd. Krechetov, sm.)
Солдатский 	 Soldatskij
Соллогуб Н. Б., ур. Зайцева 	 Sollogub N. B., ur. Zajtseva
Соллогубы 	 Solloguby
Соловьев С. М. 	 Solov'ev S. M.
Соловьев Влад. 	 Solov'ev Vlad.
Соломон 	 Solomon
Сорин С. 	 Sorin S.
Сосновский 	 Sosnovskij
Спасский о. Георгий 	 Spasskij o. Georgij
Спесивцева 	 Spesivtseva
Спирович 	 Spirovich
Спировичи 	 Spirovichi
Сталин 	 Stalin
Сталь м-ме де 	 Stal' m-me de
Станиславский К. С. 	 Stanislavskij K. S.
Стахович Г. Е. 	 Stahovich G. E.
Стеллецкий Д. С. 	 Stelletskij D. S.
Стендаль 	 Stendal'
Степун Марг. А. 	 Stepun Marg. A.
Степун Ф. А., проф. 	 Stepun F. A., prof.
Степун Нат. 	 Stepun Nat.
Степуны 	 Stepuny
Стравинский Игорь 	 Stravinskij Igor'
Струве А. П. 	 Struve A. P.
Струве Г. П., проф. 	 Struve G. P., prof.
Струве П. Б., проф. 	 Struve P. B., prof.
Судейкин С. 	 Sudejkin S.
Сургучев И. Д. 	 Surguchev I. D.
Тагор Рабиндранат 	 Tagor Rabindranat
Тарновский, полк. 	 Tarnovskij, polk.
Татаринов 	 Tatarinov
Телешов А. Н. 	 Teleshov A. N.
Телешов Н. Д. 	 Teleshov N. D.
Телешова Ел. А. 	 Teleshova El. A.
Телешовы 	 Teleshovy
Темирязев, кн. 	 Temirjazev, kn.
Теодорик 	 Teodorik
Тикстон П. А. 	 Tikston P. A.
Тихон патриарх 	 Tihon patriarh
Токарский 	 Tokarskij
Толстой А. К. 	 Tolstoj A. K.
Толстой А. Н. 	 Tolstoj A. N.
Толстая Н. (Наташа) 	 Tolstaja N. (Natasha)
Толстые 	 Tolstye
Толстые Ника, Фефа, Митя, Марьяна 	 Tolstye Nika, Fefa, Mitja, Mar'jana
Толстая А. Л. 	 Tolstaja A. L.
Толстой Лев 	 Tolstoj Lev
Толстая С. А. 	 Tolstaja S. A.
Топорков 	 Toporkov
Третьяковы 	 Tret'jakovy
Троцкий И. 	 Trotskij I.
Троцкий Лев 	 Trotskij Lev
Тургенев И. С. 	 Turgenev I. S.
Тыркова-Вильямс А. В. 	 Tyrkova-Vil'jams A. V.
Тютчев Ф. 	 Tjutchev F.
Тютчевы А. Ф. и Китти 	 Tjutchevy A. F. i Kitti
Тэффи Н. А. (Лохвицкая) 	 Teffi N. A. (Lohvitskaja)
Ундсет Зигрид 	 Undset Zigrid
Унковский, д-р 	 Unkovskij, d-r
Урицкий М. 	 Uritskij M.
Уэльс Герберт 	 Uel's Gerbert
Фарер Клод 	 Farer Klod
Фареры 	 Farery
Федин К. 	 Fedin K.
Федоров А. М. 	 Fedorov A. M.
Федоров Н. 	 Fedorov N.
Федотов Г. П., проф. 	 Fedotov G. P., prof.
Фет А. 	 Fet A.
Филоненко M. M. 	 Filonenko M. M.
Философов Д. В. 	 Filosofov D. V.
Флобер Гюстав 	 Flober Gjustav
Фондаминский И. И. (Бунаков-Фондаминский, Илис, Илюша) 	 Fondaminskij I. I. (Bunakov-Fondaminskij, Ilis, Iljusha)
Фондаминская А. О. 	 Fondaminskaja A. O.
Фондаминские 	 Fondaminskie
Франс Анатоль 	 Frans Anatol'
Франциск I 	 Frantsisk I
Фрейд Зигмунд 	 Frejd Zigmund
Харитоненко 	 Haritonenko
Ховен, барон 	 Hoven, baron
Ходасевич В. Д. 	 Hodasevich V. D.
Ходасевичи 	 Hodasevichi
Хомяков А. С. 	 Homjakov A. S.
Цакни А. Н., см. Бунина 	 Tsakni A. N., sm. Bunina
Цетлин А. В. 	 Tsetlin A. V.
Цетлин М. О. 	 Tsetlin M. O.
Цетлина М. С. 	 Tsetlina M. S.
Цетлины 	 Tsetliny
Цетлин О. С. 	 Tsetlin O. S.
